user1@node1:/mnt/storage/user1/oltpbench/results$ cat outputfile.res
time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
330,316.600,31.758,0.355,7.773,16.687,24.920,49.605,167.094,375.537,458.938,0.031
335,436.000,21.917,0.359,2.004,9.057,16.926,32.975,58.713,234.111,575.337,0.046
340,375.000,26.636,0.322,1.839,6.557,16.651,25.138,148.056,388.835,875.512,0.038
345,230.000,43.512,0.439,3.188,16.174,17.254,99.247,334.235,483.574,634.318,0.023
350,298.800,33.766,0.571,3.807,16.645,31.078,75.034,175.681,299.830,317.524,0.030
355,361.000,28.925,0.408,7.989,16.650,17.267,34.103,158.738,329.348,383.734,0.035
360,273.200,34.782,0.427,8.298,16.778,25.432,55.761,183.399,350.604,400.540,0.029
365,304.800,33.516,0.656,5.298,16.548,24.489,66.539,167.437,433.635,600.302,0.030
370,206.600,48.760,0.402,8.423,16.852,41.222,75.152,255.980,541.968,675.446,0.021
375,289.000,34.260,0.568,7.735,16.656,24.404,58.111,184.085,398.624,559.681,0.029
380,279.400,34.973,0.410,8.627,16.734,25.280,50.553,158.294,467.232,675.409,0.029
385,234.400,42.739,0.654,9.866,19.109,43.218,92.939,191.826,360.226,468.082,0.023
390,256.200,38.982,0.641,8.904,17.658,34.889,89.284,184.032,342.958,418.872,0.026
395,287.600,35.213,0.595,11.125,17.431,26.203,50.528,209.512,325.794,415.449,0.028
400,336.400,30.402,0.501,7.939,17.041,25.515,51.195,175.470,308.485,342.275,0.033
405,345.400,27.922,0.452,8.250,17.052,25.125,42.005,142.137,358.996,409.548,0.036
410,332.800,30.018,0.485,8.970,16.993,25.523,50.129,183.259,258.828,292.659,0.033
415,262.600,38.114,0.438,8.988,17.100,25.787,67.065,200.058,392.495,517.468,0.026
420,288.800,36.068,0.367,8.788,17.076,33.350,66.711,168.388,348.263,369.224,0.028
425,286.000,35.106,0.518,8.997,16.990,25.626,58.516,158.033,417.439,458.507,0.028
430,239.000,40.176,0.588,6.335,16.907,25.018,50.895,226.034,483.506,535.118,0.025
435,325.600,30.651,0.471,2.871,14.805,17.671,46.243,175.370,383.788,480.377,0.033
440,263.000,37.926,0.555,1.866,7.921,17.467,58.927,201.949,542.234,916.513,0.026
445,289.000,34.507,0.346,6.955,16.728,24.853,41.901,176.263,458.503,542.514,0.029
450,313.200,31.929,0.341,6.080,16.785,25.355,50.912,166.463,358.159,459.244,0.031
455,279.800,36.552,0.341,8.547,16.743,24.975,50.346,192.377,475.107,516.640,0.027
460,280.600,34.845,0.736,9.825,16.845,25.635,58.654,157.155,408.215,558.914,0.029
465,285.200,36.733,0.347,7.852,16.730,25.107,50.666,175.392,416.672,692.239,0.027
470,281.000,34.855,0.497,8.880,16.838,25.156,50.090,90.312,434.019,642.610,0.029
475,285.000,34.069,0.599,9.645,16.837,25.708,75.415,158.466,256.971,559.883,0.029
480,278.000,36.037,0.605,8.148,16.838,32.566,66.905,183.576,325.370,575.547,0.028
485,303.000,33.130,0.646,7.437,16.737,24.831,49.658,192.722,338.345,418.770,0.030
490,333.600,30.792,0.371,3.023,16.546,22.564,49.905,166.500,375.717,618.337,0.032
495,236.800,41.882,0.435,8.521,16.706,21.270,50.533,182.475,1004.892,1291.611,0.024
500,341.800,28.640,0.498,3.449,16.527,24.960,57.612,158.846,249.833,467.242,0.035
505,317.600,31.416,0.450,7.636,16.715,24.847,66.507,166.478,300.745,359.514,0.032
510,299.200,33.593,0.529,8.366,16.776,25.249,50.081,175.847,367.080,482.256,0.030
515,323.000,30.789,0.392,6.910,16.676,24.970,36.594,157.538,392.555,666.993,0.032
520,316.600,31.534,0.577,8.740,16.803,25.076,58.046,158.375,383.843,574.856,0.032
525,304.600,33.292,0.436,8.618,16.747,25.042,49.896,174.826,233.783,842.945,0.030
530,281.400,35.061,0.534,8.879,16.860,25.219,74.071,174.852,300.790,508.641,0.029
535,216.800,46.263,0.668,14.655,25.208,58.547,99.578,183.625,266.805,334.287,0.022
540,286.000,36.729,0.674,8.209,16.761,25.226,58.686,175.549,458.431,624.974,0.027
545,303.800,31.502,0.581,8.849,16.754,24.811,41.769,138.852,367.197,1007.377,0.032
