0,143.600,5918.441,23.592,2355.837,6905.811,10018.852,10163.461,10570.071,10897.654,10928.864,0.000
5,56.200,10181.389,9996.469,10016.131,10019.915,10060.485,10686.240,10868.011,11066.176,11068.549,0.000
10,45.600,10205.639,9995.726,10016.379,10023.649,10195.089,10883.207,10992.475,11125.183,11127.495,0.000
15,61.000,10167.389,9996.557,10017.036,10022.704,10094.138,10521.483,10704.649,11624.031,11627.280,0.000
20,45.600,10208.571,9995.815,10017.318,10054.764,10207.871,10692.872,10834.847,11274.501,11276.920,0.000
25,47.600,10246.217,9997.341,10017.134,10026.272,10289.461,10802.286,11184.419,12056.930,12059.221,0.000
30,40.400,10259.023,9995.314,10017.608,10053.824,10189.030,10952.654,11023.409,11898.867,11900.197,0.000
35,43.800,10171.184,9995.047,10017.225,10037.910,10183.740,10615.152,10920.195,11156.669,11158.800,0.000
40,45.000,10218.462,9996.653,10015.834,10036.339,10282.875,10666.054,10814.885,10827.887,10884.494,0.000
45,42.600,10239.314,9994.158,10016.371,10032.429,10473.301,10824.098,11044.352,11267.739,11269.006,0.000
50,34.400,10291.501,9997.575,10016.637,10101.024,10483.111,10797.556,10842.268,10922.929,10923.990,0.000
55,50.600,10202.501,9995.774,10016.399,10026.058,10226.089,10763.459,10901.569,11249.683,11251.670,0.000
60,30.800,10325.215,9996.636,10016.110,10057.877,10697.023,10817.100,10836.317,10952.738,11277.174,0.000
65,41.600,10228.298,9994.853,10049.368,10145.212,10316.787,10592.241,10838.625,10908.808,10909.789,0.000
70,44.400,10211.113,9996.007,10051.364,10067.632,10330.504,10725.662,10784.463,10849.998,10852.343,0.000
75,43.000,10250.478,9995.606,10059.581,10073.564,10449.448,10638.758,10676.837,10833.349,11118.821,0.000
80,41.200,10241.493,9996.268,10040.440,10077.671,10389.778,10758.924,10910.528,11008.125,11010.132,0.000
85,34.200,10295.653,9995.402,10042.954,10211.886,10539.612,10699.786,10814.907,10916.718,10917.619,0.000
90,31.200,10280.983,9996.613,10041.063,10155.891,10615.692,10743.572,10774.114,10995.523,10995.583,0.000
95,44.200,10225.016,9995.507,10016.769,10045.233,10443.864,10747.347,10817.350,10981.602,10983.819,0.000
100,36.600,10289.589,9994.939,10014.838,10041.866,10654.113,10894.015,10990.902,11116.375,11117.627,0.000
105,38.200,10238.073,9994.761,10015.325,10026.410,10233.493,10873.549,11413.552,11574.244,11575.398,0.000
110,37.200,10287.462,9995.544,10013.574,10019.802,10584.618,10906.759,11155.223,11274.448,11275.615,0.000
115,43.000,10223.786,9996.499,10014.522,10019.931,10314.955,10892.946,10999.596,11184.374,11186.484,0.000
120,27.800,10346.638,9996.513,10016.591,10041.787,10795.171,11221.614,11266.350,11666.171,11667.514,0.000
125,51.800,10205.519,9995.537,10043.740,10082.636,10342.121,10644.463,10860.128,11156.495,11157.734,0.000
130,31.000,10288.276,9997.100,10057.594,10187.255,10507.809,10685.036,10815.504,10840.805,10842.741,0.000
135,36.400,10275.222,9997.578,10016.166,10032.974,10229.586,11073.707,11596.785,11817.010,11822.157,0.000
140,50.600,10236.514,9994.086,10015.258,10023.596,10052.076,10845.308,11868.074,12297.056,12299.399,0.000
145,24.200,10318.360,9995.926,10015.616,10042.636,10332.067,10900.533,11994.690,12008.971,12464.950,0.000
150,35.800,10311.601,9996.698,10014.769,10018.354,10141.622,11150.978,12055.892,12099.019,12100.086,0.000
155,43.800,10218.294,9996.229,10015.202,10040.146,10423.399,10729.999,10869.742,10923.065,10926.383,0.000
160,36.200,10266.551,9996.481,10015.551,10051.155,10575.329,10713.935,10764.719,10791.375,10792.180,0.000
165,54.800,10183.964,9994.430,10015.096,10027.429,10184.269,10616.188,11016.945,11090.183,11092.619,0.000
170,37.600,10255.841,9996.070,10015.493,10030.813,10548.777,10796.205,10928.134,11132.288,11133.312,0.000
175,48.200,10215.748,9997.618,10015.580,10047.978,10311.737,10667.842,10934.316,11081.858,11084.168,0.000
180,32.800,10312.715,9994.305,10029.300,10157.454,10525.571,10907.422,10989.714,11491.892,11491.942,0.000
185,33.800,10283.968,9996.284,10017.724,10041.924,10406.162,11007.240,11381.349,11457.887,11459.131,0.000
190,36.800,10256.040,9995.242,10017.947,10047.605,10524.673,10861.253,10922.031,11374.688,11375.746,0.000
195,42.800,10216.803,9998.128,10017.001,10086.850,10424.803,10681.574,10806.965,11156.260,11157.688,0.000
"outputfile.1.res" 119L, 12657C ime(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
